ID,IncHomeS,Age,Income,Educ,Ownershp,Sqft4cat,Attitude,SubN,PBC,EnvironmentC,CostC,ComfortS,HabitHC
758,6,25,4,2,0,1,5.5,5,5,7,4,7,4.25
894,4,33,4,3,1,2,5.75,4,6,5.75,5.5,6.666666667,2.5
617,1,21,9,4,1,3,3,3.5,4,4.75,5,6.333333333,2
363,4,23,6,4,0,1,4.75,3,5.5,2.75,4,7,4.75
827,6,48,7,2,1,4,4.75,4.5,5,3.75,5,7,3.5
94,7,48,6,4,1,4,6,4.5,5,3.5,6,3.333333333,3
137,3,19,8,2,1,4,6.75,6,5,6,5.5,2.666666667,4.25
438,4,29,6,4,0,2,5.75,4.5,5,4.5,5.5,7,3.75
741,3,31,8,4,1,4,7,5,3,6.75,7,4.333333333,5
783,2,42,1,2,1,2,7,4,4,7,7,4.666666667,2
64,1,37,1,5,0,1,6,4,3,6,6.5,4,5
147,6,53,4,4,1,4,6,5,5,4.5,5.5,7,3.75
263,4,23,7,2,1,1,7,3,7,4,7,6.333333333,4
391,4,33,6,4,1,2,5,1,6,3.5,6,5,1.25
553,4,31,4,3,0,4,5,2,6,6,4,7,3
696,6,69,6,5,1,4,4,4,4,1.25,6,5.666666667,3
817,6,31,6,4,0,4,5.5,4,4.5,4.75,5.5,5,3.75
860,3,27,5,4,0,1,6,4,6,5.5,6.5,4.666666667,3.25
890,4,47,7,4,1,4,5,4,5,3.75,4,4.333333333,2.75
18,6,31,8,4,1,3,5,1,6,4.5,4.5,6,3.75
167,3,32,6,4,0,2,6,5,5,5,6,5.333333333,3.75
199,3,32,7,4,1,3,6,2,5,4.25,6,6.333333333,3
294,1,51,6,3,1,3,7,3.5,6,5,3.5,3,3.75
399,4,28,9,6,0,1,4.5,3,3.5,3.75,3,4.666666667,3.75
411,8,42,8,4,1,4,4.5,2,6,3,6,6,4
538,6,46,6,2,1,4,4.75,2.5,3.5,3.75,4,7,2.25
559,8,55,3,2,1,4,2,3.5,6.5,1.5,6,6.333333333,3.5
576,3,30,6,4,1,2,5,4,5,4,5.5,4.666666667,4.25
614,8,33,4,2,0,1,7,5,6,6,5,7,5.5
714,6,38,1,3,0,1,5.5,3,2,5,5.5,6.666666667,2.5
762,3,25,5,3,0,4,6,1.5,7,6,6,4.666666667,5
352,7,38,5,2,0,2,7,5.5,6,6.75,7,6.333333333,6.25
31,6,39,7,4,1,4,6,4,7,4.5,5.5,6,6.5
90,8,27,6,4,0,2,2.25,2,5,2,4,7,1.666666667
216,7,55,8,3,1,3,6,5,6,5.5,5,5.333333333,5.75
234,5,48,4,2,1,2,7,5.5,7,7,7,1,7
545,5,27,5,2,1,3,5.5,4,4.5,4.5,2.5,6,4.666666667
742,6,24,6,5,0,1,6.5,5.5,5,5.75,4.5,6,3.25
847,6,26,5,4,0,2,5,5,5,5,6,5.333333333,6
384,2,29,5,4,0,1,6.25,6,7,6,6.5,5,6
350,6,51,1,4,1,4,7,1.5,7,6,7,7,6.75
274,6,28,6,5,1,2,5,2,5.5,5.5,5,5.666666667,4.5
345,7,27,6,3,1,2,6.5,3.5,7,5,6,7,5.5
175,4,49,5,4,1,3,7,4,5.5,4.75,5.5,6,4.75
862,4,46,5,3,1,2,7,3.5,7,5.75,6.5,4,4.5
907,4,29,4,2,1,3,7,3,5.5,6.5,7,4.333333333,4.25
66,3,34,7,3,1,4,6.25,5,3.5,5,5,5.666666667,4.75
321,4,25,7,5,1,1,4.25,5,7,3.5,5.5,5.333333333,7
468,4,51,7,5,1,3,7,6,7,7,6,7,4.5
796,1,51,6,2,1,3,7,5,7,6.25,6.5,5.333333333,6.5
837,4,49,4,3,1,4,7,6,4,7,6.5,6,5.75
908,4,25,1,5,0,1,6.5,6,7,5,5.5,7,5
148,8,54,6,3,1,2,6.25,5,6,3.25,6.5,6.333333333,5.75
173,4,25,5,4,1,3,5.5,3.5,5,3.75,6,5.333333333,4.666666667
416,3,27,5,5,0,2,7,6,7,6.75,5.5,3.666666667,5.5
782,7,30,7,3,1,4,6.25,2,4,5.25,7,6,4.75
797,4,36,8,6,1,4,7,4.5,5.5,5.75,7,6,5.5
830,1,27,6,5,0,3,5,5.5,5,6,6,2.666666667,4.75
273,4,32,4,3,1,4,7,6,7,5.25,7,5,6.25
726,8,26,3,4,0,1,7,4,7,5.5,7,6,5.75
195,5,40,8,5,0,2,7,4,7,4,7,6.333333333,7
422,1,34,4,4,0,4,1,1,7,1,7,4,7
24,4,49,6,4,0,2,5.25,5,5,5,5,4.333333333,5.5
