ID,PBillStatus,CompR,HTdevice,HTsource,DeviceType,@9to5,HomeW,HomeWYN,HomeS,HomeSYN,AwayW,AwayWNY,AwayS,AwaySNY,IncHomeS,IncHomeW,ReasonPos,ReasonNeg,RewardForm,IncAwayS,IncAwayW,IncWD,IncDish,IncAutoS,IncAutoW,IncEmer10S,IncEmer30S,IncEmer10W,IncEmer30W,EmerRForm,EnergyC1,EnergyC2,EnergyC3,EnergyC4,MC1,MC2,MC3,MC4,MC5,Frugal1,Frugal2,Frugal3,Trust1,Trust2,Trust3,Trust4,ComfNS1,ComfNS2,ComfNS3,ComfNW1,ComfNW2,ConvB1,ConvB2,ConvB3,ConvB4,ControlN1,ControlN2R,ControlN3,ControlN4,Atti1,Atti2,Atti3,Atti4,SubNorm1,SubNorm2,SubNorm3,PBC1,PBC2,PBC3R,PBC4,PBC5,INT1,INT2,INT3,INT4,SN1,SN2,SN3,SN4,HabitC1,HabitC2,HabitC3,HabitC4,HabitC5,HabitC6,HabitC7,HabitE1,HabitE2,HabitE3,State,City,Age,Gender,OwnRent,BillS,NBillS,BillW,NBillW,Utility,Sqft,SqftCate,HouseholdS,Political,Ethnic,Income,Educ,Job,Latitude,Longitude,EnergyC,MCG,MCBill,Frugal,Trust,ComfortS,ComfortW,Attitude,SubN,PBC,hot,cold,ACYN,HeatYN,valid1,valid2,valid
720,3,1,8,1,1,1,68,1,80,1,60,1,80,1,1,1,4,,1,1,1,4,5,1,1,3,4,3,4,1,7,7,7,7,7,7,7,7,7,7,7,7,5,6,5,5,1,1,1,1,1,1,1,1,1,6,5,6,4,7,7,7,7,2,2,1,7,7,7,7,7,7,7,7,2,2,2,1,2,7,7,7,7,7,7,7,1,1,1,15,Interlachen,29,2,2,40.00,1,25.00,1,FPL,1200,2.00,2,1,1,4,3,1,30.19549561,-82.82790375000000,7.00,7.00,7.00,7.00,5.00,1.00,1.00,7.00,2.00,7.00,1,0,1,1,1,1,1
721,1,2,4,1,2,1,72,1,70,1,72,1,70,1,3,3,,,5,4,4,5,,3,3,2,3,2,3,1,4,5,3,5,5,6,5,6,6,6,6,5,4,3,5,5,7,7,7,4,3,4,3,5,5,4,3,5,5,5,4,5,5,3,3,2,5,6,5,6,5,4,5,5,4,4,3,4,3,7,6,2,4,4,4,5,2,1,1,59,Neenah,25,1,1,200.00,3,300.00,4,WE Energies,1200,2.00,2,2,1,6,4,8,44.18429565,-88.53050232000000,4.25,5.50,5.50,5.67,5.00,7.00,3.50,4.75,3.00,6.00,0,1,1,1,1,1,1
722,1,1,7,6,4,1,,0,,0,,0,,0,1,1,4,,5,1,1,,,1,1,1,1,99,99,1,7,7,7,7,5,5,7,7,7,7,7,7,5,5,5,5,3,2,3,1,1,1,1,1,1,6,6,6,3,7,7,7,7,6,5,3,7,6,6,6,6,6,4,4,1,3,3,1,2,7,6,4,6,8,8,8,1,1,1,40,"ROCHESTER, NY",58,2,2,85.00,2,80.00,2,National Grid,1500,3.00,3,3,1,8,6,2,40.71429443,-74.00599670000000,7.00,5.00,7.00,7.00,5.00,2.67,1.00,7.00,5.50,6.00,0,1,1,1,1,1,1
723,1,2,2,2,1,1,73,1,75,1,69,1,89,1,3,2,,,2,3,3,3,4,2,2,2,2,4,2,2,5,5,5,6,6,4,4,6,6,6,6,6,5,5,5,5,6,6,6,5,6,3,3,3,3,5,4,5,4,7,7,7,7,3,3,1,6,6,6,6,6,5,6,6,6,5,6,6,6,7,7,7,7,7,7,7,1,1,1,20,Chicago,41,2,2,200.00,3,200.00,4,northshore,1800,3.00,5,4,3,7,4,10,42.23249817,-87.96340179000000,5.25,5.00,5.00,6.00,5.00,6.00,5.50,7.00,3.00,6.00,0,1,1,1,1,0,0
725,3,1,2,1,2,1,65,1,,0,,2,,2,99,4,,,5,99,4,6,,4,5,99,99,6,6,1,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,1,1,3,1,1,2,1,1,3,7,5,5,5,6,6,7,7,5,3,3,6,6,6,6,6,6,6,7,6,2,3,3,5,6,7,4,5,6,6,2,1,3,2,10,Wheat Ridge,26,2,1,40.00,1,40.00,1,Xcel Energy,800,1.00,5,4,1,6,3,8,39.73919678,-104.98470310000000,5.50,5.00,6.00,6.00,6.00,1.67,1.00,6.50,4.00,6.00,0,1,0,1,1,1,1
726,3,1,2,1,1,1,70,1,72,1,62,1,78,1,8,8,,1,4,8,8,4,,8,8,4,4,4,4,2,6,6,4,6,6,5,7,7,7,7,7,7,4,5,4,4,5,7,6,3,3,2,1,1,1,5,1,7,2,7,7,7,7,4,4,4,7,7,6,7,7,7,7,7,3,5,5,5,5,7,3,7,3,7,6,7,1,3,3,41,Durham,26,2,1,90.00,2,90.00,2,Duke Energy,550,1.00,1,3,1,3,4,12,36.03550720,-78.83910370000000,5.50,5.50,7.00,7.00,4.00,6.00,3.00,7.00,4.00,7.00,1,0,1,1,1,1,1
727,1,2,2,2,3,1,69,1,72,1,69,1,,2,6,7,,,5,4,6,6,6,6,7,4,5,4,5,1,7,6,5,6,6,7,6,6,6,7,7,7,4,4,4,4,4,5,5,2,1,4,3,2,1,7,3,7,4,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,7,5,3,6,6,5,3,6,7,6,7,1,1,1,30,Lansing,29,1,1,175.00,3,250.00,4,Board of Water and Light,950,2.00,3,8,1,6,3,7,38.00000000,-97.00000000000000,6.00,6.50,6.00,7.00,4.00,4.67,1.50,7.00,6.00,7.00,0,1,1,1,1,1,1
728,3,2,1,1,1,1,72,1,72,1,68,1,68,1,4,5,,,5,4,6,4,4,3,4,3,3,3,3,1,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,3,3,3,5,5,4,3,3,3,6,6,5,5,7,7,7,7,5,4,4,5,5,6,5,5,5,5,5,5,5,5,5,5,6,7,2,7,2,2,6,1,2,1,51,Kingsport,37,2,2,140.00,3,200.00,4,Appalachian Power,1500,3.00,5,1,1,8,4,8,36.49070740,-82.62000275000000,6.00,6.00,6.00,6.00,4.50,3.00,5.00,7.00,4.50,5.00,1,0,1,1,1,1,1
729,2,1,2,1,1,0,70,1,78,1,,0,84,1,4,5,,,5,4,4,6,4,3,6,3,3,3,3,2,7,7,6,7,6,6,6,5,6,7,7,7,5,5,5,4,3,1,3,3,6,3,5,7,7,5,5,6,4,7,7,7,7,2,5,5,5,3,5,5,5,6,6,6,4,3,4,3,5,3,3,2,7,5,6,4,1,2,2,15,Orlando,32,2,1,85.00,2,40.00,1,Duke Energy,1000,2.00,1,6,1,5,6,8,28.31199646,-81.58899689000000,6.75,6.00,6.00,7.00,4.50,2.33,4.50,7.00,3.50,4.00,1,0,1,1,1,1,1
730,1,2,4,1,2,1,70,1,,0,68,1,,0,2,2,,,5,3,3,3,,2,3,3,3,3,3,1,5,6,6,6,4,5,7,6,6,6,6,6,4,5,4,4,3,4,2,5,5,2,2,2,3,5,3,5,4,5,6,5,6,6,4,5,5,5,5,5,4,6,6,5,6,5,5,3,3,7,6,5,2,4,6,7,1,2,2,46,lancaster,25,2,1,100.00,2,200.00,4,ppl electric,800,1.00,4,6,1,5,2,10,40.03790283,-76.30549622000000,5.75,4.50,6.50,6.00,4.00,3.00,5.00,5.50,5.00,5.00,0,1,1,1,1,1,1
